;;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;
;;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;
;;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;
;;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;
Нови жилища;Общо за страната;97.48;99.45;100.24;102.83;103.12;104.28;108.21;110.04;112.83;111.91;114.17;115.24;115.46;120.00;122.41;122.30;129.23;129.02;129.50;133.00;131.83;130.06;134.07;136.04;140.67;139.43;145.44;147.52;152.88;156.55;163.82;161.98;160.41;171.35;179.31;179.02;191.35;198.08;;;-0.9;2.0;0.8;2.6;0.3;1.1;3.8;1.7;2.5;-0.8;2.0;0.9;0.2;3.9;2.0;-0.1;5.7;-0.2;0.4;2.7;-0.9;-1.3;3.1;1.5;3.4;-0.9;4.3;1.4;3.6;2.4;4.6;-1.1;-1.0;6.8;4.6;-0.2;6.9;3.5;;;1.9;3.7;3.8;4.6;5.8;4.9;8.0;7.0;9.4;7.3;5.5;4.7;2.3;7.2;7.2;6.1;11.9;7.5;5.8;8.7;2.0;0.8;3.5;2.3;6.7;7.2;8.5;8.4;8.7;12.3;12.6;9.8;4.9;9.5;9.5;10.5;19.3;15.6;;;
Нови жилища;Северна и Югоизточна България;99.26;100.06;99.87;100.81;101.31;103.43;107.64;110.91;110.24;108.28;111.91;115.10;115.31;115.87;116.62;118.33;119.91;116.96;115.89;116.31;115.33;115.73;116.60;115.84;116.67;118.38;122.58;125.82;125.44;130.67;134.64;140.64;138.00;148.44;152.37;152.32;160.32;162.85;;;-1.5;0.8;-0.2;0.9;0.5;2.1;4.1;3.0;-0.6;-1.8;3.4;2.9;0.2;0.5;0.6;1.5;1.3;-2.5;-0.9;0.4;-0.8;0.3;0.8;-0.7;0.7;1.5;3.5;2.6;-0.3;4.2;3.0;4.5;-1.9;7.6;2.6;0.0;5.3;1.6;;;-3.1;-1.1;0.4;0.0;2.1;3.4;7.8;10.0;8.8;4.7;4.0;3.8;4.6;7.0;4.2;2.8;4.0;0.9;-0.6;-1.7;-3.8;-1.1;0.6;-0.4;1.2;2.3;5.1;8.6;7.5;10.4;9.8;11.8;10.0;13.6;13.2;8.3;16.2;9.7;;;
Нови жилища;Северозападен;98.55;99.04;101.34;101.06;102.31;102.94;102.28;101.94;102.58;104.13;103.28;106.76;106.93;106.62;106.88;107.86;108.89;110.11;110.34;113.05;113.81;112.76;111.46;113.32;111.71;113.42;114.16;115.37;121.57;123.53;127.97;128.07;131.70;122.80;126.93;112.11;120.63;127.50;;;-0.5;0.5;2.3;-0.3;1.2;0.6;-0.6;-0.3;0.6;1.5;-0.8;3.4;0.2;-0.3;0.2;0.9;1.0;1.1;0.2;2.5;0.7;-0.9;-1.2;1.7;-1.4;1.5;0.7;1.1;5.4;1.6;3.6;0.1;2.8;-6.8;3.4;-11.7;7.6;5.7;;;0.5;3.4;3.7;2.0;3.8;3.9;0.9;0.9;0.3;1.2;1.0;4.7;4.2;2.4;3.5;1.0;1.8;3.3;3.2;4.8;4.5;2.4;1.0;0.2;-1.8;0.6;2.4;1.8;8.8;8.9;12.1;11.0;8.3;-0.6;-0.8;-12.5;-8.4;3.8;;;
Нови жилища;Северен централен;97.03;101.74;100.28;100.95;100.13;101.07;99.48;99.30;101.46;102.72;106.77;109.47;111.16;114.24;113.72;114.25;114.66;116.49;116.25;118.59;118.26;118.33;119.25;120.47;119.37;121.35;122.37;125.74;131.82;134.00;137.67;148.55;136.45;133.03;139.48;134.55;139.94;147.04;;;0.4;4.9;-1.4;0.7;-0.8;0.9;-1.6;-0.2;2.2;1.2;3.9;2.5;1.5;2.8;-0.5;0.5;0.4;1.6;-0.2;2.0;-0.3;0.1;0.8;1.0;-0.9;1.7;0.8;2.8;4.8;1.7;2.7;7.9;-8.1;-2.5;4.8;-3.5;4.0;5.1;;;1.0;10.1;6.0;4.4;3.2;-0.7;-0.8;-1.6;1.3;1.6;7.3;10.2;9.6;11.2;6.5;4.4;3.1;2.0;2.2;3.8;3.1;1.6;2.6;1.6;0.9;2.6;2.6;4.4;10.4;10.4;12.5;18.1;3.5;-0.7;1.3;-9.4;2.6;10.5;;;
Нови жилища;Североизточен;98.85;100.80;99.96;100.40;104.31;104.21;105.55;115.79;112.23;113.90;113.88;121.22;121.18;121.37;124.93;129.03;129.18;129.21;128.42;131.89;130.68;127.60;129.00;128.46;129.02;134.93;139.46;141.13;138.40;142.85;148.74;157.33;147.35;174.49;177.16;176.82;190.44;185.77;;;-0.7;2.0;-0.8;0.4;3.9;-0.1;1.3;9.7;-3.1;1.5;0.0;6.4;0.0;0.2;2.9;3.3;0.1;0.0;-0.6;2.7;-0.9;-2.4;1.1;-0.4;0.4;4.6;3.4;1.2;-1.9;3.2;4.1;5.8;-6.3;18.4;1.5;-0.2;7.7;-2.5;;;2.2;1.6;0.2;0.9;5.5;3.4;5.6;15.3;7.6;9.3;7.9;4.7;8.0;6.6;9.7;6.4;6.6;6.5;2.8;2.2;1.2;-1.2;0.5;-2.6;-1.3;5.7;8.1;9.9;7.3;5.9;6.7;11.5;6.5;22.1;19.1;12.4;29.2;6.5;;;
Нови жилища;Югоизточен;99.65;99.65;99.74;100.96;100.21;103.36;109.37;110.38;110.70;106.58;112.07;113.38;113.56;114.09;113.38;113.87;116.61;110.81;109.35;107.37;106.34;109.35;109.95;108.60;110.14;108.59;113.41;118.07;117.74;124.48;127.13;130.79;134.01;137.21;141.57;143.44;148.13;154.43;;;-2.1;0.0;0.1;1.2;-0.7;3.1;5.8;0.9;0.3;-3.7;5.2;1.2;0.2;0.5;-0.6;0.4;2.4;-5.0;-1.3;-1.8;-1.0;2.8;0.5;-1.2;1.4;-1.4;4.4;4.1;-0.3;5.7;2.1;2.9;2.5;2.4;3.2;1.3;3.3;4.3;;;-5.5;-3.3;-0.2;-0.8;0.6;3.7;9.7;9.3;10.5;3.1;2.5;2.7;2.6;7.0;1.2;0.4;2.7;-2.9;-3.6;-5.7;-8.8;-1.3;0.5;1.1;3.6;-0.7;3.1;8.7;6.9;14.6;12.1;10.8;13.8;10.2;11.4;9.7;10.5;12.6;;;
Нови жилища;Югозападна и Южна централна България;95.73;98.84;100.61;104.83;104.88;104.99;108.60;108.81;114.78;114.81;115.81;114.93;115.16;122.25;125.73;124.45;134.62;136.06;137.49;142.85;141.57;138.63;144.35;147.79;154.40;151.65;158.65;160.16;168.44;171.38;180.38;174.62;173.59;184.89;195.00;194.57;209.25;218.19;;;-0.2;3.2;1.8;4.2;0.0;0.1;3.4;0.2;5.5;0.0;0.9;-0.8;0.2;6.2;2.8;-1.0;8.2;1.1;1.1;3.9;-0.9;-2.1;4.1;2.4;4.5;-1.8;4.6;1.0;5.2;1.7;5.3;-3.2;-0.6;6.5;5.5;-0.2;7.5;4.3;;;7.1;8.5;7.3;9.3;9.6;6.2;7.9;3.8;9.4;9.4;6.6;5.6;0.3;6.5;8.6;8.3;16.9;11.3;9.4;14.8;5.2;1.9;5.0;3.5;9.1;9.4;9.9;8.4;9.1;13.0;13.7;9.0;3.1;7.9;8.1;11.4;20.5;18.0;;;
Нови жилища;Югозападен;96.17;98.98;99.77;105.08;104.55;103.99;109.46;109.09;116.28;116.38;116.56;114.92;114.33;122.53;126.20;123.60;134.45;135.27;135.68;142.59;141.30;138.68;145.68;148.80;157.04;153.83;161.60;163.06;171.80;177.11;185.59;177.18;175.42;186.56;198.40;198.61;216.96;225.38;;;0.0;2.9;0.8;5.3;-0.5;-0.5;5.3;-0.3;6.6;0.1;0.2;-1.4;-0.5;7.2;3.0;-2.1;8.8;0.6;0.3;5.1;-0.9;-1.9;5.0;2.1;5.5;-2.0;5.1;0.9;5.4;3.1;4.8;-4.5;-1.0;6.4;6.3;0.1;9.2;3.9;;;8.0;8.9;6.4;9.2;8.7;5.1;9.7;3.8;11.2;11.9;6.5;5.3;-1.7;5.3;8.3;7.6;17.6;10.4;7.5;15.4;5.1;2.5;7.4;4.4;11.1;10.9;10.9;9.6;9.4;15.1;14.8;8.7;2.1;5.3;6.9;12.1;23.7;20.8;;;
Нови жилища;Южен централен;93.67;98.19;104.50;103.64;105.98;108.73;105.05;107.55;109.01;108.81;112.79;114.71;118.19;120.85;123.55;127.54;134.91;138.88;144.45;143.48;142.31;138.04;138.51;143.23;143.11;142.28;146.06;147.78;154.14;147.31;158.41;163.62;165.54;177.48;180.55;177.50;176.91;187.99;;;-1.0;4.8;6.4;-0.8;2.3;2.6;-3.4;2.4;1.4;-0.2;3.7;1.7;3.0;2.3;2.2;3.2;5.8;2.9;4.0;-0.7;-0.8;-3.0;0.3;3.4;-0.1;-0.6;2.7;1.2;4.3;-4.4;7.5;3.3;1.2;7.2;1.7;-1.7;-0.3;6.3;;;2.0;6.3;10.8;9.5;13.1;10.7;0.5;3.8;2.9;0.1;7.4;6.7;8.4;11.1;9.5;11.2;14.1;14.9;16.9;12.5;5.5;-0.6;-4.1;-0.2;0.6;3.1;5.5;3.2;7.7;3.5;8.5;10.7;7.4;20.5;14.0;8.5;6.9;5.9;;;
Съществуващи жилища;Общо за страната;99.73;99.88;98.55;101.85;103.50;107.35;107.75;110.77;112.55;117.23;119.47;121.84;123.43;126.21;126.41;128.24;129.60;130.96;133.31;134.55;137.72;136.43;141.60;144.28;148.67;150.31;154.12;158.64;168.44;174.41;180.95;183.36;189.17;194.34;197.21;201.32;215.78;223.12;;;1.5;0.2;-1.3;3.3;1.6;3.7;0.4;2.8;1.6;4.2;1.9;2.0;1.3;2.3;0.2;1.4;1.1;1.0;1.8;0.9;2.4;-0.9;3.8;1.9;3.0;1.1;2.5;2.9;6.2;3.5;3.7;1.3;3.2;2.7;1.5;2.1;7.2;3.4;;;2.4;2.2;0.9;3.6;3.8;7.5;9.3;8.8;8.7;9.2;10.9;10.0;9.7;7.7;5.8;5.3;5.0;3.8;5.5;4.9;6.3;4.2;6.2;7.2;8.0;10.2;8.8;10.0;13.3;16.0;17.4;15.6;12.3;11.4;9.0;9.8;14.1;14.8;;;
Съществуващи жилища;Северна и Югоизточна България;99.46;99.33;100.19;101.02;102.03;101.81;103.44;104.92;108.81;112.09;113.10;114.74;116.83;118.46;119.03;120.76;122.11;124.93;125.34;127.54;129.15;128.42;129.76;131.80;134.15;138.00;140.44;144.83;152.24;155.61;161.20;166.11;173.03;176.32;177.64;187.16;196.25;205.54;;;0.0;-0.1;0.9;0.8;1.0;-0.2;1.6;1.4;3.7;3.0;0.8;1.5;1.8;1.4;0.5;1.5;1.1;2.3;0.3;1.8;1.3;-0.6;1.0;1.6;1.8;2.9;1.8;3.1;5.1;2.2;3.6;3.0;4.2;1.9;0.7;5.4;4.9;4.7;;;0.5;0.3;1.3;1.6;2.6;2.5;3.2;3.9;6.6;10.1;9.3;9.4;7.4;5.6;5.2;5.2;4.5;5.5;5.3;5.6;5.8;2.8;3.5;3.3;3.9;7.5;8.2;9.9;13.5;12.8;14.8;14.7;13.7;13.3;10.2;12.7;13.4;16.6;;;
Съществуващи жилища;Северозападен;98.41;99.19;98.73;103.67;102.50;102.61;100.75;102.28;105.11;108.77;111.43;112.57;113.11;116.13;117.62;119.29;119.87;122.93;124.33;125.72;129.14;128.83;130.66;133.70;137.66;140.83;142.78;144.50;152.44;151.61;156.69;163.96;170.73;173.88;172.01;186.55;198.51;202.96;;;4.0;0.8;-0.5;5.0;-1.1;0.1;-1.8;1.5;2.8;3.5;2.1;1.0;0.5;2.7;1.3;1.4;0.5;2.6;1.1;1.1;2.7;-0.2;1.4;2.3;3.0;2.3;1.4;1.2;5.5;-0.5;3.4;4.6;4.1;1.8;-1.1;8.5;6.4;2.2;;;0.4;2.4;3.4;9.5;4.2;3.4;2.0;-1.3;2.5;6.0;10.6;10.1;7.6;6.4;5.6;6.0;6.0;5.9;5.7;5.4;7.7;4.8;5.1;6.3;6.6;9.3;9.3;8.1;10.7;7.7;9.7;13.5;12.0;14.7;9.8;13.8;16.3;16.7;;;
Съществуващи жилища;Северен централен;98.61;100.50;100.35;100.54;100.33;102.21;103.80;103.43;107.40;111.27;112.47;115.05;117.54;118.90;118.89;120.41;121.72;124.32;125.15;125.80;127.40;128.56;132.34;133.87;136.82;140.72;141.98;145.03;156.16;165.07;158.52;170.67;175.60;173.27;183.69;186.74;192.75;213.72;;;2.5;1.9;-0.1;0.2;-0.2;1.9;1.6;-0.4;3.8;3.6;0.9;2.3;2.2;1.2;0.0;1.3;1.1;2.1;0.7;0.5;1.3;0.9;2.9;1.2;2.2;2.9;0.9;2.1;7.7;5.7;-4.0;7.7;2.9;-1.3;6.0;1.7;3.2;10.9;;;3.8;4.7;5.2;4.5;1.7;1.7;3.4;2.9;7.0;8.9;8.4;11.2;9.4;6.7;5.7;4.7;3.6;4.6;5.3;4.5;4.7;3.4;5.7;6.4;7.4;9.5;7.3;8.3;14.1;17.3;11.6;17.7;12.4;5.0;15.9;9.4;9.8;23.3;;;
Съществуващи жилища;Североизточен;97.82;98.34;102.33;101.50;105.00;103.51;107.09;108.02;112.05;116.33;116.60;118.73;122.05;122.96;123.22;124.53;127.73;131.73;133.20;135.63;136.19;132.96;133.21;135.23;136.79;140.77;142.86;148.38;155.59;156.37;168.04;168.96;178.37;181.72;183.76;192.81;207.04;213.77;;;-3.1;0.5;4.1;-0.8;3.4;-1.4;3.5;0.9;3.7;3.8;0.1;1.8;2.8;0.7;0.2;1.1;2.6;3.1;1.1;1.8;0.4;-2.4;0.2;1.5;1.2;2.9;1.5;3.9;4.9;0.5;7.5;0.5;5.6;1.9;1.1;4.9;7.4;3.3;;;-1.9;-1.2;2.3;0.6;7.3;5.3;4.7;6.4;6.7;12.4;8.9;9.9;8.9;5.6;5.7;4.9;4.7;7.1;8.1;8.9;6.6;0.9;0.0;-0.3;0.4;5.9;7.2;9.7;13.7;11.1;17.6;13.9;14.6;16.2;9.4;14.1;16.1;17.6;;;
Съществуващи жилища;Югоизточен;101.73;99.89;98.39;99.99;99.61;99.73;100.32;103.01;106.98;109.02;110.25;111.20;112.31;114.42;115.28;117.51;117.23;118.90;117.86;120.59;122.80;123.75;125.15;127.17;129.72;133.56;136.89;141.26;147.52;152.25;156.40;162.07;167.45;172.32;171.04;181.80;187.11;195.96;;;1.2;-1.8;-1.5;1.6;-0.4;0.1;0.6;2.7;3.9;1.9;1.1;0.9;1.0;1.9;0.8;1.9;-0.2;1.4;-0.9;2.3;1.8;0.8;1.1;1.6;2.0;3.0;2.5;3.2;4.4;3.2;2.7;3.6;3.3;2.9;-0.7;6.3;2.9;4.7;;;3.3;0.8;-1.3;-0.5;-2.1;-0.2;2.0;3.0;7.4;9.3;9.9;8.0;5.0;4.9;4.6;5.7;4.4;3.9;2.2;2.6;4.8;4.1;6.2;5.5;5.6;7.9;9.4;11.1;13.7;14.0;14.3;14.7;13.5;13.2;9.4;12.2;11.7;13.7;;;
Съществуващи жилища;Югозападна и Южна централна България;99.91;100.27;97.38;102.44;104.55;111.31;110.83;114.96;115.25;120.84;124.03;126.91;128.21;131.72;131.68;133.58;134.96;135.34;139.00;139.61;143.79;142.14;149.79;152.90;158.62;158.84;163.54;168.17;179.56;187.24;194.43;195.21;200.21;206.72;210.68;210.90;229.35;235.17;;;2.5;0.4;-2.9;5.2;2.1;6.5;-0.4;3.7;0.3;4.9;2.6;2.3;1.0;2.7;0.0;1.4;1.0;0.3;2.7;0.4;3.0;-1.1;5.4;2.1;3.7;0.1;3.0;2.8;6.8;4.3;3.8;0.4;2.6;3.3;1.9;0.1;8.7;2.5;;;4.0;3.7;0.7;5.1;4.6;11.0;13.8;12.2;10.2;8.6;11.9;10.4;11.2;9.0;6.2;5.3;5.3;2.7;5.6;4.5;6.5;5.0;7.8;9.5;10.3;11.7;9.2;10.0;13.2;17.9;18.9;16.1;11.5;10.4;8.4;8.0;14.6;13.8;;;
Съществуващи жилища;Югозападен;99.43;100.01;97.68;102.88;104.54;112.86;112.52;117.20;116.86;123.09;126.67;129.40;130.13;133.56;133.71;135.83;137.39;137.15;141.35;141.73;146.32;144.31;153.26;156.50;162.80;161.82;167.29;171.89;184.88;192.85;202.39;203.44;206.37;213.04;219.53;219.54;237.63;243.70;;;2.2;0.6;-2.3;5.3;1.6;8.0;-0.3;4.2;-0.3;5.3;2.9;2.2;0.6;2.6;0.1;1.6;1.1;-0.2;3.1;0.3;3.2;-1.4;6.2;2.1;4.0;-0.6;3.4;2.7;7.6;4.3;4.9;0.5;1.4;3.2;3.0;0.0;8.2;2.6;;;4.1;4.2;1.2;5.7;5.1;12.8;15.2;13.9;11.8;9.1;12.6;10.4;11.4;8.5;5.6;5.0;5.6;2.7;5.7;4.3;6.5;5.2;8.4;10.4;11.3;12.1;9.2;9.8;13.6;19.2;21.0;18.4;11.6;10.5;8.5;7.9;15.1;14.4;;;
Съществуващи жилища;Южен централен;101.87;101.32;96.14;100.66;104.43;105.33;104.30;106.32;108.95;112.12;113.89;117.32;121.04;124.92;124.07;125.06;125.71;128.66;130.12;131.63;134.19;133.96;136.36;138.97;142.31;147.56;149.02;153.84;158.41;164.93;162.10;161.68;175.32;181.19;174.59;175.69;195.45;200.29;;;3.7;-0.5;-5.1;4.7;3.7;0.9;-1.0;1.9;2.5;2.9;1.5;3.0;3.2;3.2;-0.7;0.8;0.5;2.4;1.1;1.2;1.9;-0.2;1.8;1.9;2.4;3.7;1.0;3.2;3.0;4.1;-1.7;-0.3;8.4;3.3;-3.6;0.6;11.2;2.5;;;4.4;2.9;-1.4;2.5;2.5;4.0;8.5;5.6;4.3;6.4;9.2;10.3;11.1;11.3;8.9;6.6;3.9;3.0;4.9;5.3;6.8;4.1;4.8;5.6;6.1;10.2;9.3;10.7;11.3;11.8;8.8;5.1;10.7;9.9;7.7;8.7;11.5;10.5;;;
